pair1	pair2	pt	all_samples
594176--295-R--AL7II7_P1_WES	594176--295-R--AL7IJ9W32_P2_WES	594176--295-R--ORIGINATOR_PT_WES	713595--302-R--FL9_P0_WES
692163--330-T--C56_P0_WES	692163--330-T--C56C88_P1_WES	NA	713595--302-R--FL7DM1_P1_WES
692163--330-T--C56_P0_WES	692163--330-T--C56C91_P1_WES	NA	713595--302-R--FL9D78_P1_WES
692163--330-T--C56_P0_WES	692163--330-T--C56C96_P1_WES	NA	713595--302-R--FL9D77DK1_P2_WES
692163--330-T--C56_P0_WES	692163--330-T--C57L2_P1_WES	NA	713595--302-R--FL9D79DH7_P2_WES
692163--330-T--C56_P0_WES	692163--330-T--C57LC98_P1_WES	NA	767577--098-T--CF8_P0_WES
692163--330-T--C57L_P0_WES	692163--330-T--C56C88_P1_WES	NA	767577--098-T--CF8X82WH1_P2_WES
692163--330-T--C57L_P0_WES	692163--330-T--C56C91_P1_WES	NA	767577--098-T--CF8X83WP9_P2_WES
692163--330-T--C57L_P0_WES	692163--330-T--C56C96_P1_WES	NA	767577--098-T--CF8X84WQ5_P2_WES
692163--330-T--C57L_P0_WES	692163--330-T--C57L2_P1_WES	NA	918122--036-R--ORIGINATOR_PT_WES
692163--330-T--C57L_P0_WES	692163--330-T--C57LC98_P1_WES	NA	918122--036-R--LR0_P0_WES
692163--330-T--C56C88_P1_WES	692163--330-T--C56C88CE5_P2_WES	NA	918122--036-R--LR2_P0_WES
692163--330-T--C56C88_P1_WES	692163--330-T--C57L2CB6_P2_WES	NA	918122--036-R--LR0MX6_P1_WES
692163--330-T--C56C91_P1_WES	692163--330-T--C56C88CE5_P2_WES	NA	918122--036-R--LR0MY1_P1_WES
692163--330-T--C56C91_P1_WES	692163--330-T--C57L2CB6_P2_WES	NA	918122--036-R--LR2MY8_P1_WES
692163--330-T--C56C96_P1_WES	692163--330-T--C56C88CE5_P2_WES	NA	
692163--330-T--C56C96_P1_WES	692163--330-T--C57L2CB6_P2_WES	NA	
692163--330-T--C57L2_P1_WES	692163--330-T--C56C88CE5_P2_WES	NA	
692163--330-T--C57L2_P1_WES	692163--330-T--C57L2CB6_P2_WES	NA	
692163--330-T--C57LC98_P1_WES	692163--330-T--C56C88CE5_P2_WES	NA	
692163--330-T--C57LC98_P1_WES	692163--330-T--C57L2CB6_P2_WES	NA	
713595--302-R--ORIGINATOR_PT_WES	713595--302-R--FL7_P0_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--ORIGINATOR_PT_WES	713595--302-R--FL9_P0_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL7_P0_WES	713595--302-R--FL7DM1_P1_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL7_P0_WES	713595--302-R--FL9D78_P1_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL9_P0_WES	713595--302-R--FL7DM1_P1_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL9_P0_WES	713595--302-R--FL9D78_P1_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL7DM1_P1_WES	713595--302-R--FL9D77DK1_P2_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL7DM1_P1_WES	713595--302-R--FL9D79DH7_P2_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL9D78_P1_WES	713595--302-R--FL9D77DK1_P2_WES	713595--302-R--ORIGINATOR_PT_WES	
713595--302-R--FL9D78_P1_WES	713595--302-R--FL9D79DH7_P2_WES	713595--302-R--ORIGINATOR_PT_WES	
767577--098-T--CF8_P0_WES	767577--098-T--CF8X82WH1_P2_WES	NA	
767577--098-T--CF8_P0_WES	767577--098-T--CF8X83WP9_P2_WES	NA	
767577--098-T--CF8_P0_WES	767577--098-T--CF8X84WQ5_P2_WES	NA	
918122--036-R--ORIGINATOR_PT_WES	918122--036-R--LR0_P0_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--ORIGINATOR_PT_WES	918122--036-R--LR2_P0_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR0_P0_WES	918122--036-R--LR0MX6_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR0_P0_WES	918122--036-R--LR0MY1_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR0_P0_WES	918122--036-R--LR2MY8_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR2_P0_WES	918122--036-R--LR0MX6_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR2_P0_WES	918122--036-R--LR0MY1_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
918122--036-R--LR2_P0_WES	918122--036-R--LR2MY8_P1_WES	918122--036-R--ORIGINATOR_PT_WES	
