pair1	pair2	pt	all_samples
714841--288-R--KV7_P0_WES	714841--288-R--KV6MG5_P1_WES	NA	714841--288-R--KV9MH0_P1_WES
714841--288-R--KV7_P0_WES	714841--288-R--KV9MH0_P1_WES	NA	714841--288-R--KV6MF7NX7_P2_WES
714841--288-R--KV7_P0_WES	714841--288-R--KV6MF7NX7_P2_WES	NA	714841--288-R--KV6MF7NX6M067_P3_WES
714841--288-R--KV7_P0_WES	714841--288-R--KV6MF7NX6M067_P3_WES	NA	762968--020-R--YP8_P0_WES
762968--020-R--YP8_P0_WES	762968--020-R--YP8WE6_P1_WES	NA	762968--020-R--YQ0_P0_WES
762968--020-R--YP8_P0_WES	762968--020-R--YP9WU8_P1_WES	NA	762968--020-R--YP8WE6_P1_WES
762968--020-R--YP8_P0_WES	762968--020-R--YQ0W10_P1_WES	NA	762968--020-R--YP9WU8_P1_WES
762968--020-R--YP8_P0_WES	762968--020-R--YQ1WF8_P1_WES	NA	762968--020-R--YQ0W10_P1_WES
762968--020-R--YQ0_P0_WES	762968--020-R--YP8WE6_P1_WES	NA	762968--020-R--YQ1WF8_P1_WES
762968--020-R--YQ0_P0_WES	762968--020-R--YP9WU8_P1_WES	NA	862259--027-R--IA1_P0_WES
762968--020-R--YQ0_P0_WES	762968--020-R--YQ0W10_P1_WES	NA	862259--027-R--IA1M440_P1_WES
762968--020-R--YQ0_P0_WES	762968--020-R--YQ1WF8_P1_WES	NA	862259--027-R--IA1M442_P1_WES
862259--027-R--IA1_P0_WES	862259--027-R--IA1M440_P1_WES	NA	862259--027-R--IA1M440M883_P2_WES
862259--027-R--IA1_P0_WES	862259--027-R--IA1M442_P1_WES	NA	862259--027-R--IA1M440M881X32_P3_WES
862259--027-R--IA1_P0_WES	862259--027-R--IA1M440M883_P2_WES	NA	862259--027-R--IA1M440M884X90_P3_WES
862259--027-R--IA1_P0_WES	862259--027-R--IA1M440M881X32_P3_WES	NA	
862259--027-R--IA1_P0_WES	862259--027-R--IA1M440M884X90_P3_WES	NA	
			
			
			
			
