pair1	pair2		all_samples
CRC71_PT_WGS	CRC71_P1_WGS		CRC48_P6_WGS
CRC71_P1_WGS	CRC71_P6_WGS		CRC49_PT_WGS
CRC72_PT_WGS	CRC72_P1_WGS		CRC49_P1_WGS
CRC72_P1_WGS	CRC72_P4_WGS		CRC49_P5_WGS
CRC73_PT_WGS	CRC73_P1_WGS		CRC50_PT_WGS
CRC73_P1_WGS	CRC73_P4_WGS		CRC50_P0_WGS
CRC74_PT_WGS	CRC74_P1_WGS		CRC50_P2_WGS
CRC75_P1_WGS	CRC75_P4_WGS		CRC51_PT_WGS
CRC76_PT_WGS	CRC76_P1_WGS		CRC51_P1_WGS
CRC76_P1_WGS	CRC76_P4_WGS		CRC51_P4_WGS
CRC77_PT_WGS	CRC77_P0_WGS		CRC52_PT_WGS
CRC77_P0_WGS	CRC77_P3_WGS		CRC52_P1_WGS
CRC78_PT_WGS	CRC78_P1_WGS		CRC52_P6_WGS
CRC78_P1_WGS	CRC78_P4_WGS		CRC53_PT_WGS
CRC79_PT_WGS	CRC79_P1_WGS		CRC53_P1_WGS
CRC79_P1_WGS	CRC79_P4_WGS		CRC53_P6_WGS
CRC80_PT_WGS	CRC80_P1_WGS		CRC54_PT_WGS
CRC80_P1_WGS	CRC80_P6_WGS		CRC54_P1_WGS
CRC81_PT_WGS	CRC81_P1_WGS		CRC54_P6_WGS
CRC81_P1_WGS	CRC81_P4_WGS		CRC55_PT_WGS
CRC82_PT_WGS	CRC82_P1_WGS		CRC55_P1_WGS
CRC82_P1_WGS	CRC82_P4_WGS		CRC55_P5_WGS
CRC83_PT_WGS	CRC83_P0_WGS		CRC56_PT_WGS
CRC83_P0_WGS	CRC83_P3_WGS		CRC56_P1_WGS
CRC84_PT_WGS	CRC84_P0_WGS		CRC56_P5_WGS
CRC84_P0_WGS	CRC84_P3_WGS		CRC57_PT_WGS
CRC85_PT_WGS	CRC85_P0_WGS		CRC57_P1_WGS
CRC85_P0_WGS	CRC85_P3_WGS		CRC57_P6_WGS
CRC86_PT_WGS	CRC86_P1_WGS		CRC58_PT_WGS
CRC86_P1_WGS	CRC86_P6_WGS		CRC58_P1_WGS
CRC87_PT_WGS	CRC87_P1_WGS		CRC58_P6_WGS
CRC87_P1_WGS	CRC87_P4_WGS		CRC59_PT_WGS
CRC88_PT_WGS	CRC88_P0_WGS		CRC59_P1_WGS
CRC88_P0_WGS	CRC88_P3_WGS		CRC59_P4_WGS
CRC89_PT_WGS	CRC89_P0_WGS		CRC60_PT_WGS
CRC89_P0_WGS	CRC89_P3_WGS		CRC60_P1_WGS
CRC90_PT_WGS	CRC90_P0_WGS		CRC60_P4_WGS
CRC90_P0_WGS	CRC90_P3_WGS		CRC61_PT_WGS
CRC91_PT_WGS	CRC91_P1_WGS		CRC61_P1_WGS
CRC91_P1_WGS	CRC91_P4_WGS		CRC61_P6_WGS
CRC92_PT_WGS	CRC92_P1_WGS		CRC62_PT_WGS
CRC92_P1_WGS	CRC92_P4_WGS		CRC62_P1_WGS
CRC93_PT_WGS	CRC93_P1_WGS		CRC62_P6_WGS
CRC93_P1_WGS	CRC93_P4_WGS		CRC63_PT_WGS
CRC94_PT_WGS	CRC94_P1_WGS		CRC63_P1_WGS
CRC94_P1_WGS	CRC94_P3_WGS		CRC63_P6_WGS
CRC95_PT_WGS	CRC95_P1_WGS		CRC64_PT_WGS
CRC95_P1_WGS	CRC95_P4_WGS		CRC64_P0_WGS
CRC96_PT_WGS	CRC96_P1_WGS		CRC64_P4_WGS
CRC96_P1_WGS	CRC96_P4_WGS		CRC65_PT_WGS
CRC97_PT_WGS	CRC97_P1_WGS		CRC65_P0_WGS
CRC97_P1_WGS	CRC97_P4_WGS		CRC65_P3_WGS
CRC98_PT_WGS	CRC98_P0_WGS		CRC66_PT_WGS
CRC98_P0_WGS	CRC98_P3_WGS		CRC66_P1_WGS
CRC99_PT_WGS	CRC99_P0_WGS		CRC66_P5_WGS
CRC99_P0_WGS	CRC99_P3_WGS		CRC67_PT_WGS
CRC100_PT_WGS	CRC100_P0_WGS		CRC67_P0_WGS
CRC100_P0_WGS	CRC100_P3_WGS		CRC67_P2_WGS
CRC101_P0_WGS	CRC101_P3_WGS		CRC68_PT_WGS
			CRC68_P1_WGS
			CRC68_P6_WGS
			CRC69_PT_WGS
			CRC69_P1_WGS
			CRC69_P6_WGS
			CRC70_PT_WGS
			CRC70_P1_WGS
			CRC70_P4_WGS
			CRC71_PT_WGS
			CRC71_P1_WGS
			CRC71_P6_WGS
			CRC72_PT_WGS
			CRC72_P1_WGS
			CRC72_P4_WGS
			CRC73_PT_WGS
			CRC73_P1_WGS
			CRC73_P4_WGS
			CRC74_PT_WGS
			CRC74_P1_WGS
			CRC75_P1_WGS
			CRC75_P4_WGS
			CRC76_PT_WGS
			CRC76_P1_WGS
			CRC76_P4_WGS
			CRC77_PT_WGS
			CRC77_P0_WGS
			CRC77_P3_WGS
			CRC78_PT_WGS
			CRC78_P1_WGS
			CRC78_P4_WGS
			CRC79_PT_WGS
			CRC79_P1_WGS
			CRC79_P4_WGS
			CRC80_PT_WGS
			CRC80_P1_WGS
			CRC80_P6_WGS
			CRC81_PT_WGS
			CRC81_P1_WGS
			CRC81_P4_WGS
			CRC82_PT_WGS
			CRC82_P1_WGS
			CRC82_P4_WGS
			CRC83_PT_WGS
			CRC83_P0_WGS
			CRC83_P3_WGS
			CRC84_PT_WGS
			CRC84_P0_WGS
			CRC84_P3_WGS
			CRC85_PT_WGS
			CRC85_P0_WGS
			CRC85_P3_WGS
			CRC86_PT_WGS
			CRC86_P1_WGS
			CRC86_P6_WGS
			CRC87_PT_WGS
			CRC87_P1_WGS
			CRC87_P4_WGS
			CRC88_PT_WGS
			CRC88_P0_WGS
			CRC88_P3_WGS
			CRC89_PT_WGS
			CRC89_P0_WGS
			CRC89_P3_WGS
			CRC90_PT_WGS
			CRC90_P0_WGS
			CRC90_P3_WGS
			CRC91_PT_WGS
			CRC91_P1_WGS
			CRC91_P4_WGS
			CRC92_PT_WGS
			CRC92_P1_WGS
			CRC92_P4_WGS
			CRC93_PT_WGS
			CRC93_P1_WGS
			CRC93_P4_WGS
			CRC94_PT_WGS
			CRC94_P1_WGS
			CRC94_P3_WGS
			CRC95_PT_WGS
			CRC95_P1_WGS
			CRC95_P4_WGS
			CRC96_PT_WGS
			CRC96_P1_WGS
			CRC96_P4_WGS
			CRC97_PT_WGS
			CRC97_P1_WGS
			CRC97_P4_WGS
			CRC98_PT_WGS
			CRC98_P0_WGS
			CRC98_P3_WGS
			CRC99_PT_WGS
			CRC99_P0_WGS
			CRC99_P3_WGS
			CRC100_PT_WGS
			CRC100_P0_WGS
			CRC100_P3_WGS
			CRC101_P0_WGS
			CRC101_P3_WGS
