pair1	pair2	pt	all_samples				
415371--026-R--YR0WA5_P1_WES	415371--026-R--YR0WA4WT7_P2_WES	415371--026-R--ORIGINATOR_PT_WES	633993--097-R--VI7QT0_P1_WES				
563396--261-R--KP0_P0_WES	563396--261-R--KN9L92_P1_WES	NA	633993--097-R--VI8M979_P1_WES				
563396--261-R--KP0_P0_WES	563396--261-R--KP1LD4_P1_WES	NA	633993--097-R--VI5E39F06_P2_WES				
563396--261-R--KP0_P0_WES	563396--261-R--KP1LD5_P1_WES	NA	695221--133-T--VV9_P0_WES				
563396--261-R--KN9L92_P1_WES	563396--261-R--KN9L97_RG-M706_P2_WES	NA	695221--133-T--VV9M16_P1_WES				
563396--261-R--KN9L92_P1_WES	563396--261-R--KN9L97_RG-M710_P2_WES	NA	695221--133-T--VV9M18_P1_WES				
563396--261-R--KP1LD4_P1_WES	563396--261-R--KN9L97_RG-M706_P2_WES	NA	695221--133-T--VV9M19_P1_WES				
563396--261-R--KP1LD4_P1_WES	563396--261-R--KN9L97_RG-M710_P2_WES	NA	695221--133-T--VV9M18M836_P2_WES				
563396--261-R--KP1LD5_P1_WES	563396--261-R--KN9L97_RG-M706_P2_WES	NA	695221--133-T--VV9M19M98_P2_WES				
563396--261-R--KP1LD5_P1_WES	563396--261-R--KN9L97_RG-M710_P2_WES	NA	891866--317-R--AR2_P0_WES				
633993--097-R--VI7_P0_WES	633993--097-R--VI7QT0_P1_WES	NA	891866--317-R--AR2E10_P1_WES				
633993--097-R--VI7_P0_WES	633993--097-R--VI8M979_P1_WES	NA	891866--317-R--AR2E10M83_P2_WES				
633993--097-R--VI8_P0_WES	633993--097-R--VI7QT0_P1_WES	NA	891866--317-R--AR2E10M85_P2_WES				
633993--097-R--VI8_P0_WES	633993--097-R--VI8M979_P1_WES	NA	891866--317-R--AR2E10M82M831E07_P4_WES				
633993--097-R--VI7QT0_P1_WES	633993--097-R--VI5E39F06_P2_WES	NA					
633993--097-R--VI8M979_P1_WES	633993--097-R--VI5E39F06_P2_WES	NA					
695221--133-T--VV9_P0_WES	695221--133-T--VV9M16_P1_WES	NA					
695221--133-T--VV9_P0_WES	695221--133-T--VV9M18_P1_WES	NA					
695221--133-T--VV9_P0_WES	695221--133-T--VV9M19_P1_WES	NA					
695221--133-T--VV9M16_P1_WES	695221--133-T--VV9M18M836_P2_WES	NA					
695221--133-T--VV9M16_P1_WES	695221--133-T--VV9M19M98_P2_WES	NA					
695221--133-T--VV9M18_P1_WES	695221--133-T--VV9M18M836_P2_WES	NA					
695221--133-T--VV9M18_P1_WES	695221--133-T--VV9M19M98_P2_WES	NA					
695221--133-T--VV9M19_P1_WES	695221--133-T--VV9M18M836_P2_WES	NA					
695221--133-T--VV9M19_P1_WES	695221--133-T--VV9M19M98_P2_WES	NA					
891866--317-R--AR2_P0_WES	891866--317-R--AR2E10_P1_WES	NA					
891866--317-R--AR2E10_P1_WES	891866--317-R--AR2E10M83_P2_WES	NA					
891866--317-R--AR2E10_P1_WES	891866--317-R--AR2E10M85_P2_WES	NA					
891866--317-R--AR2E10M83_P2_WES	891866--317-R--AR2E10M82M831E07_P4_WES	NA					
891866--317-R--AR2E10M85_P2_WES	891866--317-R--AR2E10M82M831E07_P4_WES	NA					
128128--338-R--L42_P0_WES	128128--338-R--L44NT9_RG-Q18_P2_WES	NA					
128128--338-R--L43_P0_WES	128128--338-R--L44NT9_RG-Q18_P2_WES	NA					
137849--337-R--TW7_P0_WES	137849--337-R--TW7VT4_RG-M188_P2_WES	NA					
137849--337-R--TW8_P0_WES	137849--337-R--TW7VT4_RG-M188_P2_WES	NA					
137849--337-R--TW7_P0_WES	137849--337-R--TW8VT6M270_P2_WES	NA					
137849--337-R--TW8_P0_WES	137849--337-R--TW8VT6M270_P2_WES	NA					
174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD7I14_P1_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD8I91NB6E05_P3_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--ORIGINATOR_PT_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--AD7_P0_WES	174316--266-R--AD8I91NB6E05_P3_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--AD8_P0_WES	174316--266-R--AD8I91NB6E05_P3_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--AD7_P0_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--AD8_P0_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES	174316--266-R--ORIGINATOR_PT_WES					
174316--266-R--AD7I14_P1_WES	174316--266-R--AD7I12II7NB9WC6_P4_WES	174316--266-R--ORIGINATOR_PT_WES					
174941--126-T--DA3_P0_WES	174941--126-T--DA3DW5YB6_P2_WES	NA					
174941--126-T--DA3_P0_WES	174941--126-T--DA4DZ7WS8_P2_WES	NA					
174941--126-T--DA3_P0_WES	174941--126-T--DA3DW5YB6Z33_P3_WES	NA					
174941--126-T--DA3DW6_P1_WES	174941--126-T--DA3DW5YB6Z33_P3_WES	NA					
174941--126-T--DA4DZ5_P1_WES	174941--126-T--DA3DW5YB6Z33_P3_WES	NA					
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YQ9XN9_P1_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YR0WA5_P1_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YQ9XP1WT3_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--ORIGINATOR_PT_WES	415371--026-R--YR0WA4WT7_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--YQ9_P0_WES	415371--026-R--YQ9XP1WT3_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--YR0_P0_WES	415371--026-R--YQ9XP1WT3_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--YQ9_P0_WES	415371--026-R--YR0WA4WT7_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
415371--026-R--YR0_P0_WES	415371--026-R--YR0WA4WT7_P2_WES	415371--026-R--ORIGINATOR_PT_WES					
563396--261-R--KP0_P0_WES	563396--261-R--KN9L97_RG-M706_P2_WES	NA					
563396--261-R--KP0_P0_WES	563396--261-R--KN9L97_RG-M710_P2_WES	NA					
633993--097-R--VI7_P0_WES	633993--097-R--VI5E39F06_P2_WES	NA					
633993--097-R--VI8_P0_WES	633993--097-R--VI5E39F06_P2_WES	NA					
695221--133-T--VV9_P0_WES	695221--133-T--VV9M18M836_P2_WES	NA					
695221--133-T--VV9_P0_WES	695221--133-T--VV9M19M98_P2_WES	NA					
891866--317-R--AR2_P0_WES	891866--317-R--AR2E10M83_P2_WES	NA					
891866--317-R--AR2_P0_WES	891866--317-R--AR2E10M85_P2_WES	NA					
891866--317-R--AR2_P0_WES	891866--317-R--AR2E10M82M831E07_P4_WES	NA					
891866--317-R--AR2E10_P1_WES	891866--317-R--AR2E10M82M831E07_P4_WES	NA					
