sample1	sample2	pt	ID
562742--068-R--H24WF0M892_P2_WES	562742--068-R--H24WF0M894X07_P3_WES	NA	562742--068-R--H24WF0M892_P2_WES
562742--068-R--H26HF3M876_P2_WES	562742--068-R--H24WF0M894X07_P3_WES	NA	562742--068-R--H26HF3M876_P2_WES
582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37_P0_WES	582836--169-R--ORIGINATOR_PT_WES	562742--068-R--H24WF0M894X07_P3_WES
582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39_P0_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--ORIGINATOR_PT_WES
582836--169-R--A37_P0_WES	582836--169-R--A37AA1_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37_P0_WES
582836--169-R--A37_P0_WES	582836--169-R--A38AC6_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39_P0_WES
582836--169-R--A37_P0_WES	582836--169-R--A38AC8_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A37AA1_P1_WES
582836--169-R--A37_P0_WES	582836--169-R--A39AH5_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A38AC6_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A37AA1_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A38AC8_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A38AC6_P1_WES	582836--169-R--ORIGINATOR_PT_WES	582836--169-R--A39AH5_P1_WES
582836--169-R--A39_P0_WES	582836--169-R--A38AC8_P1_WES	582836--169-R--ORIGINATOR_PT_WES	668155--338-R--YE7_P0_WES
582836--169-R--A39_P0_WES	582836--169-R--A39AH5_P1_WES	582836--169-R--ORIGINATOR_PT_WES	668155--338-R--YE8XD4_P1_WES
668155--338-R--YE7_P0_WES	668155--338-R--YE8XD4_P1_WES	NA	668155--338-R--YF0XE0_P1_WES
668155--338-R--YE7_P0_WES	668155--338-R--YF0XE0_P1_WES	NA	735871--273-R--ORIGINATOR_PT_WES
735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9_P0_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9_P0_WES
735871--273-R--GU9_P0_WES	735871--273-R--GV1Y89_P1_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GV1Y89_P1_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU7Y57YM7_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU7Y57YM7_P2_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU8YF8X78_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU8YF8X78_P2_WES
735871--273-R--GV1Y89_P1_WES	735871--273-R--GU9YA2X13_P2_WES	735871--273-R--ORIGINATOR_PT_WES	735871--273-R--GU9YA2X13_P2_WES
784116--028-R--H04_P0_WES	784116--028-R--H04M900_P1_WES	NA	784116--028-R--H04_P0_WES
784116--028-R--H04_P0_WES	784116--028-R--H06HG0_P1_WES	NA	784116--028-R--H06_P0_WES
784116--028-R--H06_P0_WES	784116--028-R--H04M900_P1_WES	NA	784116--028-R--H04M900_P1_WES
784116--028-R--H06_P0_WES	784116--028-R--H06HG0_P1_WES	NA	784116--028-R--H06HG0_P1_WES
784116--028-R--H04M900_P1_WES	784116--028-R--H04M898M143_P2_WES	NA	784116--028-R--H04M898M143_P2_WES
784116--028-R--H04M900_P1_WES	784116--028-R--H06HF7W51_P2_WES	NA	784116--028-R--H06HF7W51_P2_WES
784116--028-R--H06HG0_P1_WES	784116--028-R--H04M898M143_P2_WES	NA	832693--133-R--VW3_P0_WES
784116--028-R--H06HG0_P1_WES	784116--028-R--H06HF7W51_P2_WES	NA	832693--133-R--VW5_P0_WES
832693--133-R--VW3_P0_WES	832693--133-R--VW3M168_P1_WES	NA	832693--133-R--VW3M168_P1_WES
832693--133-R--VW3_P0_WES	832693--133-R--VW5PV3_P1_WES	NA	832693--133-R--VW5PV3_P1_WES
832693--133-R--VW5_P0_WES	832693--133-R--VW3M168_P1_WES	NA	832693--133-R--VW5PV2F46_P2_WES
832693--133-R--VW5_P0_WES	832693--133-R--VW5PV3_P1_WES	NA	832693--133-R--VW5PV2F44M91_P3_WES
832693--133-R--VW3M168_P1_WES	832693--133-R--VW5PV2F46_P2_WES	NA	845751--090-R--XM7_P0_WES
832693--133-R--VW5PV3_P1_WES	832693--133-R--VW5PV2F46_P2_WES	NA	845751--090-R--XM8_P0_WES
832693--133-R--VW5PV2F46_P2_WES	832693--133-R--VW5PV2F44M91_P3_WES	NA	845751--090-R--XM7AY1_P1_WES
845751--090-R--XM7_P0_WES	845751--090-R--XM7AY1_P1_WES	NA	845751--090-R--XM7AY3V42_P2_WES
845751--090-R--XM8_P0_WES	845751--090-R--XM7AY1_P1_WES	NA	845751--090-R--XM8AA5_RG-VH4_P2_WES
845751--090-R--XM7AY1_P1_WES	845751--090-R--XM7AY3V42_P2_WES	NA	915372--287-R--FJ4_P0_WES
845751--090-R--XM7AY3V42_P2_WES	845751--090-R--XM8AA5_RG-VH4_P2_WES	NA	915372--287-R--FJ6_P0_WES
915372--287-R--FJ4_P0_WES	915372--287-R--FJ4P73_P1_WES	NA	915372--287-R--FJ4P73_P1_WES
915372--287-R--FJ4_P0_WES	915372--287-R--FJ4P75_P1_WES	NA	915372--287-R--FJ4P75_P1_WES
915372--287-R--FJ6_P0_WES	915372--287-R--FJ4P73_P1_WES	NA	915372--287-R--FJ6P86PG5_P2_WES
915372--287-R--FJ6_P0_WES	915372--287-R--FJ4P75_P1_WES	NA	915372--287-R--FJ6P86PG1M165_P3_WES
915372--287-R--FJ4P73_P1_WES	915372--287-R--FJ6P86PG5_P2_WES	NA	932174--294-R--KX4_P0_WES
915372--287-R--FJ4P75_P1_WES	915372--287-R--FJ6P86PG5_P2_WES	NA	932174--294-R--KX3N20_P1_WES
915372--287-R--FJ6P86PG5_P2_WES	915372--287-R--FJ6P86PG1M165_P3_WES	NA	932174--294-R--KX4MN9_P1_WES
932174--294-R--KX4_P0_WES	932174--294-R--KX3N20_P1_WES	NA	932174--294-R--KX3N24Q81_P2_WES
932174--294-R--KX4_P0_WES	932174--294-R--KX4MN9_P1_WES	NA	958767--090-R--H50_P0_WES
932174--294-R--KX3N20_P1_WES	932174--294-R--KX3N24Q81_P2_WES	NA	958767--090-R--H50WF1HJ3_P2_WES
932174--294-R--KX4MN9_P1_WES	932174--294-R--KX3N24Q81_P2_WES	NA	958767--090-R--H50WF2HK9_P2_WES
958767--090-R--H50_P0_WES	958767--090-R--H50WF1HJ3_P2_WES	NA	958767--090-R--H50WF4HL6_P2_WES
958767--090-R--H50_P0_WES	958767--090-R--H50WF2HK9_P2_WES	NA	958767--090-R--H50WF1HJ6M187_P3_WES
958767--090-R--H50_P0_WES	958767--090-R--H50WF4HL6_P2_WES	NA	958767--090-R--H50WF2HL0M193_P3_WES
958767--090-R--H50WF1HJ3_P2_WES	958767--090-R--H50WF1HJ6M187_P3_WES	NA	959717--210-R--A57AG6AV2I60_P3_WES
958767--090-R--H50WF1HJ3_P2_WES	958767--090-R--H50WF2HL0M193_P3_WES	NA	959717--210-R--A58AG7AV6I69_P3_WES
958767--090-R--H50WF2HK9_P2_WES	958767--090-R--H50WF1HJ6M187_P3_WES	NA	959717--210-R--A57AG6AV2I62IH4N31NL1_P6_WES
958767--090-R--H50WF2HK9_P2_WES	958767--090-R--H50WF2HL0M193_P3_WES	NA	959717--210-R--A59AG8AV8I72IM6N78NT1_P6_WES
958767--090-R--H50WF4HL6_P2_WES	958767--090-R--H50WF1HJ6M187_P3_WES	NA	981375--231-R--ORIGINATOR_PT_WES
958767--090-R--H50WF4HL6_P2_WES	958767--090-R--H50WF2HL0M193_P3_WES	NA	981375--231-R--T92TV2_P1_WES
959717--210-R--A57AG6AV2I60_P3_WES	959717--210-R--A57AG6AV2I62IH4N31NL1_P6_WES	NA	981375--231-R--T94UD3_R_P1_WES
959717--210-R--A57AG6AV2I60_P3_WES	959717--210-R--A59AG8AV8I72IM6N78NT1_P6_WES	NA	981375--231-R--T92TV1_RG-M34_P2_WES
959717--210-R--A58AG7AV6I69_P3_WES	959717--210-R--A57AG6AV2I62IH4N31NL1_P6_WES	NA	981375--231-R--T95TV6VM3M177_P3_WES
959717--210-R--A58AG7AV6I69_P3_WES	959717--210-R--A59AG8AV8I72IM6N78NT1_P6_WES	NA	
981375--231-R--ORIGINATOR_PT_WES	981375--231-R--T92TV2_P1_WES	981375--231-R--ORIGINATOR_PT_WES	
981375--231-R--ORIGINATOR_PT_WES	981375--231-R--T94UD3_R_P1_WES	981375--231-R--ORIGINATOR_PT_WES	
981375--231-R--T92TV2_P1_WES	981375--231-R--T92TV1_RG-M34_P2_WES	981375--231-R--ORIGINATOR_PT_WES	
981375--231-R--T94UD3_R_P1_WES	981375--231-R--T92TV1_RG-M34_P2_WES	981375--231-R--ORIGINATOR_PT_WES	
981375--231-R--T92TV1_RG-M34_P2_WES	981375--231-R--T95TV6VM3M177_P3_WES	981375--231-R--ORIGINATOR_PT_WES	
