pair1	pair2	pt	all_samples
997726--040-R--X18_P0_WES	997726--040-R--X15W14_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X18_P0_WES	997726--040-R--X16XX3_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X18_P0_WES	997726--040-R--X18W29_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
997726--040-R--X18_P0_WES	997726--040-R--X19XY3_P1_WES	997726--040-R--ORIGINATOR_PT_WES	
			
			
			
			
			
			
			
			
			
