discordance	tfx
0.010572366022602989	0.7494
0.5154939846882974	0.4
0.3113379511483777	0.5138
0.08738574040219378	0.6768
0.08822457163689391	0.7448
0.0021897810218978104	0.5817
0.08822457163689391	0.347
0.07526488856412131	0.6866
0.3635036496350365	0.9307
0.0354014598540146	0.8084
0.08196721311475409	0.6188
0.04452554744525548	0.6277
0.08272594752186589	0.2813
0.19321910317170982	0.1605
0.10819672131147541	0.2908
0.1083941605839416	0.9356
0.03502371397300255	0.885
0.09041195771053591	0.9709
0.3498542274052478	0.2079
0.38599051441079896	0.3212
0.16496350364963502	0.4492
0.03281079110462997	0.702
0.12395187750637987	0.5468
0.023696682464454975	0.66
0.0036429872495446266	0.9471
0.46005107624954394	0.7726
0.5468465184104995	0.1847
0.1256391526661797	0.4015
0.26613197229310975	0.3891
0.16077287641268684	0.6079
0.7325793506019701	0.4779
0.25054704595185995	0.1311
0.2062043795620438	0.3709
0.35727305869485965	0.5459
0.13051403572730588	0.5647
0.02664233576642336	0.4569
0.05768528660094925	0.4652
0.2777980313525337	0.7603
0.2604735883424408	0.3749
0.0007291286912139992	0.7494
0.5249726576740795	0.4
0.3095151294203427	0.5138
0.31115173674588664	0.6768
0.08931826467371491	0.7448
0.05218978102189781	0.5817
0.32737878235508566	0.347
0.10226442658875091	0.6866
0.4772147283995625	0.9307
0.032458059810357404	0.8084
0.14790528233151184	0.6188
0.4959883296863603	0.6277
0.2956204379562044	0.2813
0.20998906306963178	0.1605
0.10455373406193079	0.2908
0.138270704122583	0.9356
0.1456736035049288	0.885
0.09143897996357013	0.9709
0.4783084214363835	0.2079
0.38203067932797663	0.3212
0.3193583667517317	0.4492
0.10912408759124087	0.702
0.45133065986146553	0.5468
0.02187386073641998	0.66
0.1162112932604736	0.9471
0.4812112367748997	0.7726
0.5275446917183509	0.1847
0.3340643274853801	0.4015
0.16077287641268684	0.3891
0.2893104706311565	0.6079
0.6133625410733844	0.4779
0.22684172137126185	0.1311
0.268978102189781	0.3709
0.38753189938024063	0.5459
0.17827196500182282	0.5647
0.05107624954396206	0.4569
0.03176341730558598	0.4652
0.26139263580021876	0.7603
0.28342440801457197	0.3749
0.2736448598130841	0.3582
0.02841121495327103	0.4334
0.1211214953271028	0.4523
0.08037383177570094	0.5474
0.0014953271028037382	0.71
0.02355140186915888	0.5848
0.3540186915887851	0.5519
0.09345794392523364	0.3875
0.046763935652824544	0.6745
0.017570093457943924	0.6866
0.005981308411214953	0.6363
0.002616822429906542	0.7564
0.005981308411214953	0.6811
0.12154076290201944	0.422
0.09532710280373832	0.2351
0.04037383177570093	0.6375
0.04037383177570093	0.5179
0.0616822429906542	0.552
0.004485981308411215	0.7149
0.001869158878504673	0.8909
0.05794392523364486	0.4739
0.0029906542056074765	0.7665
0.06953271028037383	0.3084
0.03551401869158879	0.4119
0.030654205607476635	0.5923
0.027289719626168225	0.5147
0.2164485981308411	0.2948
0.026542056074766354	0.555
0.2964485981308411	0.6819
0.20598130841121495	0.8535
0.005233644859813084	0.7792
0.1805607476635514	0.265
0.21457943925233644	0.9555
0.09757009345794393	0.8453
0.05308411214953271	0.6166
0.05046728971962617	0.5473
0.2863551401869159	0.4757
0.1932710280373832	0.645
0.16	0.4081
0.0605607476635514	0.5667
0.12672897196261682	0.5857
0.03700934579439252	0.1691
0.0725233644859813	0.4467
0.0014953271028037382	0.7781
0.0011214953271028037	0.6943
0.02244668911335578	0.5829
0.2119626168224299	0.7634
0.08785046728971962	0.2689
0.08074766355140187	0.803
0.11850467289719627	0.8981
0.05312383090160868	0.8513
0.019065420560747663	0.6378
0.2291588785046729	0.5567
0.14616822429906542	0.7117
0.06878504672897197	0.5544
0.015700934579439253	0.2741
0.30654205607476637	0.4162
0.0725233644859813	0.2361
0.0007476635514018691	0.8052
0.12710280373831775	0.4372
0.10504672897196261	0.5111
0.22280373831775702	0.4243
0.1674766355140187	0.6938
0.21719626168224299	0.4683
0.24485981308411214	0.216
0.06504672897196262	0.2754
0.0014958863126402393	0.5714
0.2717757009345794	0.3582
0.16485981308411216	0.4334
0.14130841121495327	0.4523
0.08373831775700935	0.5474
0.14317757009345794	0.71
0.7095327102803738	0.5848
0.13794392523364485	0.5519
0.16722783389450055	0.3875
0.013831775700934579	0.6745
0.12149532710280374	0.6866
0.03327102803738318	0.6363
0.013831775700934579	0.7564
0.07214953271028038	0.6811
0.06691588785046729	0.422
0.13869158878504673	0.2351
0.029532710280373832	0.6375
0.041495327102803736	0.5179
0.08485981308411215	0.552
