discordance	tfx
0.0	0.7494
0.14296134208606856	0.1231
0.14983594604447684	0.4
0.3135253372220197	0.5138
0.08043875685557587	0.6768
0.09041195771053591	0.7448
0.00072992700729927	0.5817
0.2034269048487058	0.347
0.10778224333211546	0.6866
0.3777372262773723	0.9307
0.03576642335766423	0.8084
0.520627966411099	0.124
0.006193078324225865	0.6188
0.017883211678832115	0.6277
0.14759475218658893	0.2813
0.3426904848705797	0.1605
0.1005464480874317	0.2908
0.10364963503649635	0.9356
0.031740240788033565	0.885
0.08968282901932191	0.9709
0.08345481049562682	0.2079
0.2520977745348413	0.3212
0.04635036496350365	0.4492
0.006197593875318994	0.702
0.04702880058330295	0.5468
0.025154939846882975	0.66
0.003278688524590164	0.9471
0.44837650492520975	0.7726
0.2985781990521327	0.1847
0.011322132943754566	0.4015
0.04702880058330295	0.3891
0.004739336492890996	0.6079
0.04742794600510763	0.4779
0.06236323851203501	0.1311
0.11605839416058394	0.3709
0.4002916514764856	0.5459
0.022238425082026978	0.5647
0.4099197665937272	0.2454
0.14051094890510948	0.4569
0.28039430449069	0.4652
0.27561064527889173	0.7603
0.5595628415300546	0.3749
0.001093693036820999	0.7494
0.2118118847976668	0.1231
0.16113744075829384	0.4
0.3182646737149107	0.5138
0.19890310786106033	0.6768
0.08895370032810791	0.7448
0.051824817518248176	0.5817
0.3926358002187386	0.347
0.11723886048210373	0.6866
0.47211082756106454	0.9307
0.03537563822027717	0.8084
0.5182615047479913	0.124
0.060109289617486336	0.6188
0.07038657913931437	0.6277
0.3989051094890511	0.2813
0.36383521691578563	0.1605
0.09836065573770492	0.2908
0.13060926669098868	0.9356
0.15553121577217963	0.885
0.08961748633879782	0.9709
0.20853080568720378	0.2079
0.25821767713659605	0.3212
0.5749179730222385	0.4492
0.09927007299270073	0.702
0.34779438570907767	0.5468
0.025154939846882975	0.66
0.025500910746812388	0.9471
0.4841298796059832	0.7726
0.34950747902225465	0.1847
0.057383040935672515	0.4015
0.04958075100255195	0.3891
0.05691353520612915	0.6079
0.3698430083972253	0.4779
0.10393873085339168	0.1311
0.1583941605839416	0.3709
0.38133430550492164	0.5459
0.06707983959168794	0.5647
0.1137855579868709	0.2454
0.13717621306092667	0.4569
0.03066812705366922	0.4652
0.23878964637258476	0.7603
0.5679417122040072	0.3749
0.04299065420560748	0.3582
0.0	0.4583
0.0007476635514018691	0.2956
0.0014953271028037382	0.4334
0.18654205607476634	0.4523
0.005607476635514018	0.5474
0.0	0.71
0.0022429906542056075	0.5848
0.011962616822429906	0.3875
0.012345679012345678	0.6745
0.06728971962616823	0.6866
0.09308411214953272	0.1567
0.0022429906542056075	0.6363
0.0022429906542056075	0.7564
0.04822429906542056	0.6811
0.04	0.2916
0.1469158878504673	0.1667
0.0	0.1045
0.04263275991024682	0.422
0.0788785046728972	0.2351
0.04037383177570093	0.6375
0.010093457943925233	0.5179
0.07813084112149532	0.552
0.00411214953271028	0.7149
0.0029906542056074765	0.8909
0.0302803738317757	0.4739
0.04037383177570093	0.1586
0.0	0.7665
0.19626168224299065	0.3084
0.13981308411214954	0.4119
0.0007476635514018691	0.5923
0.16	0.5147
0.03327102803738318	0.2205
0.2504672897196262	0.2948
0.0011214953271028037	0.555
0.29457943925233643	0.6819
0.18953271028037383	0.8535
0.0014953271028037382	0.7792
0.2874766355140187	0.265
0.17757009345794392	0.9555
0.1016822429906542	0.8453
0.03663551401869159	0.6166
0.018317757009345795	0.2122
0.14841121495327103	0.1382
0.011962616822429906	0.5473
0.49794392523364484	0.4757
0.12672897196261682	0.645
0.0	0.4081
0.17644859813084113	0.5667
0.16261682242990655	0.5857
0.12261682242990654	0.1691
0.020934579439252338	0.4467
0.013084112149532711	0.7781
0.0	0.6943
0.02244668911335578	0.5829
0.018691588785046728	0.2835
0.23775700934579438	0.7634
0.36261682242990656	0.2689
0.01945379723157501	0.1935
0.03214953271028037	0.803
0.10205607476635514	0.8981
0.005985783763561541	0.8513
0.018691588785046728	0.2034
0.0194392523364486	0.6378
0.27626168224299064	0.5567
0.016822429906542057	0.7117
0.03214953271028037	0.5544
0.04635514018691589	0.2741
0.3424299065420561	0.4162
0.09570093457943925	0.2361
0.001869158878504673	0.8052
0.05719626168224299	0.4372
0.08971962616822429	0.2096
0.11887850467289719	0.09144
0.11439252336448598	0.5111
0.48672897196261683	0.4243
0.16897196261682243	0.6938
0.37233644859813086	0.4683
0.0011214953271028037	0.3717
0.2411214953271028	0.216
0.3674766355140187	0.4126
0.1730841121495327	0.2754
0.00037397157816005983	0.5714
0.018317757009345795	0.3582
0.0	0.4583
0.0067289719626168224	0.2956
0.0007476635514018691	0.4334
0.2508411214953271	0.4523
0.023177570093457944	0.5474
0.028037383177570093	0.71
0.6960747663551402	0.5848
0.09046728971962617	0.5519
0.08417508417508418	0.3875
0.014205607476635514	0.6745
0.19102803738317756	0.6866
0.1588785046728972	0.1567
0.0033644859813084112	0.6363
0.0067289719626168224	0.7564
0.06990654205607477	0.6811
0.08897196261682243	0.2916
0.1835514018691589	0.1667
0.027289719626168225	0.1045
0.08037383177570094	0.422
0.028037383177570093	0.2351
0.028037383177570093	0.6375
0.04710280373831776	0.5179
0.014205607476635514	0.552
0.018317757009345795	0.7149
0.0022429906542056075	0.8909
0.055700934579439254	0.4739
0.029532710280373832	0.1586
0.0022429906542056075	0.7665
0.1708411214953271	0.3084
0.24710280373831775	0.4119
0.0	0.5923
0.03364485981308411	0.5147
0.2699065420560748	0.2948
0.02355140186915888	0.555
0.1502803738317757	0.6819
0.23850467289719626	0.8535
0.056074766355140186	0.7792
0.05121495327102804	0.265
0.25906542056074766	0.9555
0.18997756170531038	0.8453
0.048598130841121495	0.6166
0.019813084112149534	0.2122
0.052336448598130844	0.7742
0.0691588785046729	0.1382
0.00037383177570093456	0.5473
0.49794392523364484	0.4757
0.12859813084112148	0.645
0.0	0.4081
0.15813084112149534	0.5667
0.18654205607476634	0.5857
0.06878504672897197	0.1691
0.021682242990654205	0.4467
0.00037383177570093456	0.7781
0.03588785046728972	0.6943
0.11372989150766928	0.5829
0.05794392523364486	0.2835
0.23850467289719626	0.7634
0.28785046728971964	0.2689
0.005611672278338945	0.1935
0.10953271028037383	0.8981
0.0931537598204265	0.8513
0.055327102803738315	0.2034
0.15364485981308412	0.6378
0.014579439252336448	0.5567
0.01644859813084112	0.7117
0.25981308411214954	0.5544
0.041495327102803736	0.2055
0.2138317757009346	0.2741
0.026542056074766354	0.4162
0.2848598130841121	0.2361
0.001869158878504673	0.8052
0.22205607476635514	0.4372
0.0022429906542056075	0.2096
0.05457943925233645	0.09144
0.11850467289719627	0.5111
0.4852336448598131	0.4243
0.021682242990654205	0.6938
0.21682242990654205	0.4683
0.03252336448598131	0.3717
0.28261682242990654	0.216
0.05046728971962617	0.4126
0.2444859813084112	0.2754
0.0007476635514018691	0.5714
0.19640894100403078	0.6396
0.005818181818181818	0.9495
0.09842085934630922	0.5872
0.23288172830465032	1.0
0.018241517694272163	0.9778
0.05571740713765477	0.9511
0.12436177972283005	0.6602
0.04615952732644018	0.9811
0.05286343612334802	0.2955
0.3632040965618142	0.4977
0.35244395442851895	0.6396
0.004366812227074236	0.9495
0.3433111603843311	0.6463
0.04055059523809524	0.874
0.1387434554973822	0.5882
0.17717717717717718	0.46
0.16771333579608422	0.4225
0.06880232981434292	0.455
0.017178362573099414	1.0
0.02040072859744991	0.6106
0.15613652868554828	0.2897
0.03513909224011713	1.0
0.24217042971595049	0.6584
0.07176684881602914	0.6504
0.0014540167211922936	1.0
0.3650619985412108	0.2921
0.19701383831026947	1.0
0.06919155134741442	1.0
0.003629764065335753	0.9469
0.01282051282051282	0.6339
0.09153650563022157	0.8958
0.10534016093635698	0.8958
0.14207848837209303	0.5108
0.0043875685557586835	0.7486
0.19393718042366692	0.4126
0.15348158950054686	0.5899
0.004039662137348513	0.7132
0.013153087321885276	0.7275
0.08381924198250729	1.0
0.06318883174136664	0.912
0.1551094890510949	0.4699
0.05145985401459854	1.0
0.09385474860335195	0.2652
0.20193380438824843	0.5029
0.0905365126676602	0.4503
0.042846497764530554	0.5685
0.4155844155844156	0.1877
0.1292491595069107	0.4487
0.028142589118198873	0.1228
0.3911742707554226	0.2574
0.3037260067745578	0.4597
0.29168234851336095	0.3741
0.29237128898910186	0.2122
0.11177347242921014	0.3945
0.16537180910099888	0.1477
0.2696461824953445	0.1521
0.14151298456906286	0.4139
0.31038332713062894	0.1885
0.2996268656716418	0.2625
0.2942931741887356	0.2499
0.24341372912801484	0.3082
0.2569832402234637	0.2494
0.24488276888723484	0.3534
0.12023898431665422	0.3872
0.3842144452717796	0.2711
0.1824953445065177	0.452
0.029861888764464353	0.2814
0.12388392857142858	0.441
0.44155844155844154	0.1572
0.3668903803131991	0.2578
0.28470413100111647	0.05999
0.0188821752265861	0.4801
0.19375232428412048	0.2998
0.149812734082397	0.7261
0.20186219739292366	0.3627
0.033494603647190174	0.2188
0.007052709725315516	0.4578
0.07657992565055761	0.2384
0.08389261744966443	0.1677
0.6191362620997766	0.07312
0.0011090573012939	0.7553
0.38413685847589424	0.5096
0.18719761816151842	0.2809
0.12074074074074075	0.2123
0.09312638580931264	0.1249
0.037009622501850484	0.1069
0.05687382297551789	0.6465
0.07351311414850388	0.3518
0.14607988165680474	0.1219
0.13382899628252787	0.2035
0.11568409343715239	0.391
0.0273972602739726	0.6791
0.045252225519287835	0.3454
0.021553325901151988	0.5038
0.3057728119180633	0.1277
0.22519509476031216	0.7465
0.01824953445065177	0.7
0.05407407407407407	0.276
0.061224489795918366	0.5958
0.07108299218459248	0.8642
0.04111111111111111	0.5442
0.16166110493140526	0.1357
0.07835128109914594	0.1993
0.14216598436918496	0.5938
0.021537318975120682	0.2483
0.03560830860534125	0.2247
0.13190070396443127	0.1932
0.25805229253505113	0.3994
0.027736686390532544	0.2313
0.09215904868078781	0.1585
0.33964365256124723	0.2123
0.025765496639283045	0.845
0.03146067415730337	0.845
0.05682242990654206	0.845
0.07666542612579084	0.8155
0.07137546468401487	0.8155
0.0	0.2441
0.46912202380952384	0.3098
0.14867388868135972	0.845
0.0964259121370067	0.8155
0.09903201787043932	0.8155
0.0	0.2441
0.0	0.2441
0.05243584975827445	0.2441
0.0	0.2441
0.22379182156133828	0.2441
0.46371417938221066	0.3098
0.4646992902502802	0.3098
0.44767225325884547	0.3098
0.44970193740685543	0.3098
0.020096762188314105	0.3098
0.005590756615728662	0.3884
0.06835066864784546	0.3116
0.0014892032762472078	0.8609
0.0018635855385762206	0.8609
0.013493253373313344	0.4731
0.07915273132664437	0.2308
0.06433618445518781	0.2308
0.01901565995525727	0.3884
0.004104477611940298	0.3884
0.02720834886321282	0.3884
0.017897091722595078	0.3884
0.09398216939078752	0.3116
0.1502225519287834	0.3116
0.1253253997768687	0.3116
0.12212323682256868	0.3116
0.0026119402985074628	0.8609
0.0026070763500931097	0.8609
0.002609019754006709	0.8609
0.00186219739292365	0.8609
0.29094988780852654	0.4731
