cohort	sample	pt_early	pt_late	early_late
brca	BC126	0.010572366022602989	0.0007291286912139992	0.011666059059423988
brca	BC162	0.5154939846882974	0.5249726576740795	0.01822821728034998
brca	BC201	0.3113379511483777	0.3095151294203427	0.07582938388625593
brca	BC227	0.08738574040219378	0.31115173674588664	0.24789762340036564
brca	BC230	0.08822457163689391	0.08931826467371491	0.13634706525701787
brca	BC239	0.0021897810218978104	0.05218978102189781	0.05145985401459854
brca	BC241	0.08822457163689391	0.32737878235508566	0.06890266131972293
brca	BC250	0.07526488856412131	0.10226442658875091	0.09970781592403213
brca	BC256	0.3635036496350365	0.4772147283995625	0.24908825674690008
brca	BC274	0.0354014598540146	0.032458059810357404	0.015693430656934307
brca	BC288	0.08196721311475409	0.14790528233151184	0.04480874316939891
brca	BC291	0.04452554744525548	0.4959883296863603	0.6923076923076923
brca	BC291A	0.08272594752186589	0.2956204379562044	0.350601970083911
brca	BC297	0.19321910317170982	0.20998906306963178	0.057965730951512945
brca	BC302	0.10819672131147541	0.10455373406193079	0.010200364298724954
brca	BC325	0.1083941605839416	0.138270704122583	0.032116788321167884
brca	BC326	0.03502371397300255	0.1456736035049288	0.10470631156512222
brca	BC332	0.09041195771053591	0.09143897996357013	0.004010207801676996
brca	BC336	0.3498542274052478	0.4783084214363835	0.19774217042971595
brca	BC343	0.38599051441079896	0.38203067932797663	0.22461650840029218
brca	BC408	0.16496350364963502	0.3193583667517317	0.23065693430656933
brca	BC426	0.03281079110462997	0.10912408759124087	0.13124316441851988
brca	BC430	0.12395187750637987	0.45133065986146553	0.5136711629602625
brca	BC453	0.023696682464454975	0.02187386073641998	0.0025519504192489974
brca	BC457	0.0036429872495446266	0.1162112932604736	0.3215586307356154
brca	BC464	0.46005107624954394	0.4812112367748997	0.01786365293474298
brca	BC474	0.5468465184104995	0.5275446917183509	0.12331265961327982
brca	BC509	0.1256391526661797	0.3340643274853801	0.21986851716581446
brca	BC513	0.26613197229310975	0.16077287641268684	0.040437158469945354
brca	BC519	0.16077287641268684	0.2893104706311565	0.11236774899671653
brca	BC531	0.7325793506019701	0.6133625410733844	0.21772428884026257
brca	BC666	0.25054704595185995	0.22684172137126185	0.08789204959883297
brca	BC701	0.2062043795620438	0.268978102189781	0.12992700729927006
brca	BC715	0.35727305869485965	0.38753189938024063	0.1111111111111111
brca	BC794	0.13051403572730588	0.17827196500182282	0.03788706739526412
brca	BC878	0.02664233576642336	0.05107624954396206	0.005474452554744526
brca	BC899	0.05768528660094925	0.03176341730558598	0.044874133527909525
brca	BC989	0.2777980313525337	0.26139263580021876	0.12541013488880787
brca	BC1006	0.2604735883424408	0.28342440801457197	0.0036429872495446266
crc	CRC1	0.2736448598130841	0.2717757009345794	0.029906542056074768
crc	CRC5	0.02841121495327103	0.16485981308411216	0.1547663551401869
crc	CRC7	0.1211214953271028	0.14130841121495327	0.01794392523364486
crc	CRC8	0.08037383177570094	0.08373831775700935	0.0007476635514018691
crc	CRC9	0.0014953271028037382	0.14317757009345794	0.11102803738317757
crc	CRC10	0.02355140186915888	0.7095327102803738	0.6385046728971963
crc	CRC11	0.3540186915887851	0.13794392523364485	0.34766355140186916
crc	CRC13	0.09345794392523364	0.16722783389450055	0.16573138795361017
crc	CRC14	0.046763935652824544	0.013831775700934579	0.034418256640478866
crc	CRC15	0.017570093457943924	0.12149532710280374	0.12448598130841121
crc	CRC17	0.005981308411214953	0.03327102803738318	0.07514018691588785
crc	CRC20	0.002616822429906542	0.013831775700934579	0.04411214953271028
crc	CRC21	0.005981308411214953	0.07214953271028038	0.021682242990654205
crc	CRC25	0.12154076290201944	0.06691588785046729	0.13313388182498131
crc	CRC27	0.09532710280373832	0.13869158878504673	0.16897196261682243
crc	CRC28	0.04037383177570093	0.029532710280373832	0.0691588785046729
crc	CRC29	0.04037383177570093	0.041495327102803736	0.04074766355140187
crc	CRC30	0.0616822429906542	0.08485981308411215	0.13009345794392524
crc	CRC32	0.004485981308411215	0.00411214953271028	0.08859813084112149
crc	CRC33	0.001869158878504673	0.002616822429906542	0.00485981308411215
crc	CRC34	0.05794392523364486	0.4295327102803738	0.11551401869158878
crc	CRC37	0.0029906542056074765	0.0033644859813084112	0.0014953271028037382
crc	CRC38	0.06953271028037383	0.13345794392523364	0.09981308411214954
crc	CRC39	0.03551401869158879	0.20934579439252338	0.07401869158878505
crc	CRC40	0.030654205607476635	0.03102803738317757	0.004485981308411215
crc	CRC41	0.027289719626168225	0.014953271028037384	0.0
crc	CRC43	0.2164485981308411	0.36074766355140186	0.04224299065420561
crc	CRC44	0.026542056074766354	0.026542056074766354	0.0007476635514018691
crc	CRC46	0.2964485981308411	0.1469158878504673	0.24336448598130841
crc	CRC47	0.20598130841121495	0.19700934579439253	0.09869158878504673
crc	CRC48	0.005233644859813084	0.1016822429906542	0.09644859813084113
crc	CRC49	0.1805607476635514	0.03925233644859813	0.2463551401869159
crc	CRC50	0.21457943925233644	0.23514018691588784	0.33607476635514016
crc	CRC51	0.09757009345794393	0.14697083021690352	0.08713537771129394
crc	CRC52	0.05308411214953271	0.02355140186915888	0.04224299065420561
crc	CRC57	0.05046728971962617	0.2194392523364486	0.18205607476635513
crc	CRC58	0.2863551401869159	0.30803738317757007	0.0
crc	CRC59	0.1932710280373832	0.24	0.0067289719626168224
crc	CRC60	0.16	0.16	0.0
crc	CRC61	0.0605607476635514	0.06841121495327103	0.3390654205607477
crc	CRC62	0.12672897196261682	0.1932710280373832	0.20934579439252338
crc	CRC63	0.03700934579439252	0.03850467289719626	0.05682242990654206
crc	CRC64	0.0725233644859813	0.07177570093457944	0.0007476635514018691
crc	CRC65	0.0014953271028037382	0.07588785046728971	0.11626168224299066
crc	CRC66	0.0011214953271028037	0.03588785046728972	0.03700934579439252
